year,quarter,indefinite,temporary,indefinite_pct,temporary_pct
2015,T1,10997.3,3396.6,76.40250383843156,23.597496161568444
2015,T2,11058.0,3704.2,74.90753410738236,25.09246589261763
2015,T3,11039.2,3909.7,73.84623617791274,26.15376382208724
2015,T4,11142.6,3846.2,74.33950683176772,25.66049316823228
2016,T1,11194.9,3740.2,74.95698053578484,25.04301946421517
2016,T2,11281.3,3906.4,74.27918644692745,25.720813553072553
2016,T3,11252.3,4152.3,73.04506446126481,26.954935538735185
2016,T4,11312.5,4072.9,73.52750009749502,26.472499902504975
2017,T1,11390.5,3950.3,74.2497131831456,25.750286816854405
2017,T2,11484.1,4206.1,73.19282099654562,26.807179003454383
2017,T3,11551.6,4355.1,72.62097103736161,27.379028962638387
2017,T4,11670.4,4252.2,73.29456244583172,26.70543755416829
2018,T1,11669.0,4123.3,73.89044027785694,26.10955972214307
2018,T2,11900.3,4357.0,73.19973181278564,26.80026818721436
2018,T3,11925.7,4507.9,72.56900496543668,27.43099503456333
2018,T4,12034.1,4419.5,73.13961686196335,26.860383138036664
2019,T1,12124.0,4233.7,74.11799947425372,25.882000525746285
2019,T2,12288.5,4399.8,73.63542122325222,26.364578776747784
2019,T3,12313.6,4476.4,73.33889219773675,26.661107802263253
2019,T4,12448.3,4397.9,73.89381581602974,26.106184183970278
2020,T1,12417.5,4142.6,74.98445057698927,25.015549423010736
2020,T2,12056.2,3470.7,77.64718005525893,22.35281994474106
2020,T3,12214.5,3893.6,75.82830998069295,24.171690019307054
2020,T4,12240.8,4000.7,75.367422959702,24.632577040298003
2021,T1,12257.7,3860.9,76.04692715248223,23.953072847517774
2021,T2,12356.5,4171.0,74.76327333232491,25.236726667675086
2021,T3,12523.0,4435.9,73.84323275684153,26.15676724315846
2021,T4,12680.3,4357.7,74.42364127244981,25.57635872755018
2022,T1,12877.2,4140.7,75.66856075073892,24.33143924926107
2022,T2,13494.2,3912.4,77.52346810979742,22.476531890202565
2022,T3,13972.9,3586.1,79.57685517398485,20.42314482601515
2022,T4,14314.6,3179.6,81.82483337334659,18.175166626653404
2023,T1,14412.4,3057.2,82.49988551540963,17.500114484590373
2023,T2,14849.5,3149.3,82.50272240371581,17.4972775962842
2023,T3,15077.3,3172.5,82.6162478492915,17.3837521507085
2023,T4,15123.1,3010.6,83.39776217760303,16.602237822396972
2024,T1,15226.8,2837.1,84.29408931626061,15.705910683739393
2024,T2,15498.8,2942.2,84.04533376714929,15.954666232850713
2024,T3,15601.5,3063.5,83.58692740423253,16.41307259576748
2024,T4,15712.5,2876.7,84.5248854173391,15.475114582660899
2025,T1,15702.7,2796.5,84.88313008130082,15.116869918699186
2025,T2,16057.4,2921.2,84.60792682284257,15.392073177157432
2025,T3,16132.1,2975.7,84.42677859303531,15.573221406964693
2025,T4,16260.0,2899.1,84.86828713248535,15.131712867514654
2026,T1,16242.4,2813.7,85.23464927241147,14.765350727588542
2026,T2,16629.3,2956.1,84.90661411051089,15.093385889489111
