year,quarter,date,gdp_real_index,population_quarterly,population_source,gdp_per_capita_index
2015,T1,2015-01-01,100.0285,46425722.0,observed,100.0
2015,T2,2015-04-01,101.1486,46405050.5,interpolated,101.16482547564989
2015,T3,2015-07-01,102.0763,46384379.0,observed,102.13817255400484
2015,T4,2015-10-01,102.9879,46401631.5,interpolated,103.01201017130244
2016,T1,2016-01-01,103.7035,46418884.0,observed,103.6892252098012
2016,T2,2016-04-01,104.0465,46422992.0,interpolated,104.02297212243974
2016,T3,2016-07-01,104.869,46427100.0,observed,104.83600912683303
2016,T4,2016-10-01,105.465,46462246.5,interpolated,105.35206742571273
2017,T1,2017-01-01,106.2117,46497393.0,observed,106.01777040738068
2017,T2,2017-04-01,107.3223,46503927.0,interpolated,107.11129087958093
2017,T3,2017-07-01,108.0003,46510461.0,observed,107.772815306421
2017,T4,2017-10-01,108.6577,46577765.5,interpolated,108.27215180628944
2018,T1,2018-01-01,109.1224,46645070.0,observed,108.57830812944633
2018,T2,2018-04-01,109.8339,46680226.5,interpolated,109.20395326215915
2018,T3,2018-07-01,110.4471,46715383.0,observed,109.73099406170019
2018,T4,2018-10-01,111.0935,46817167.0,interpolated,110.13324345252403
2019,T1,2019-01-01,111.7746,46918951.0,observed,110.56807303579603
2019,T2,2019-04-01,112.0969,47003364.5,interpolated,110.68775189249808
2019,T3,2019-07-01,112.3117,47087778.0,observed,110.70104330882143
2019,T4,2019-10-01,112.9526,47202914.0,interpolated,111.06119252256707
2020,T1,2020-01-01,107.1046,47318050.0,observed,105.05487127851654
2020,T2,2020-04-01,88.0503,47331451.0,interpolated,86.34077284277114
2020,T3,2020-07-01,102.0523,47344852.0,observed,100.04259399196813
2020,T4,2020-10-01,102.7928,47372825.0,interpolated,100.70900898094979
2021,T1,2021-01-01,104.0281,47400798.0,observed,101.85912086877869
2021,T2,2021-04-01,105.4542,47356065.0,observed,103.35302291434357
2021,T3,2021-07-01,107.5329,47346836.0,observed,105.41084779706648
2021,T4,2021-10-01,109.7174,47424595.0,observed,107.37589255893172
2022,T1,2022-01-01,111.4419,47486727.0,observed,108.92088991585062
2022,T2,2022-04-01,113.3378,47609145.0,observed,110.4890670109306
2022,T3,2022-07-01,114.2624,47781354.0,observed,110.9889645361764
2022,T4,2022-10-01,114.8748,47940295.0,observed,111.2138758468421
2023,T1,2023-01-01,115.4608,48085361.0,observed,111.4439743507861
2023,T2,2023-04-01,115.6271,48205962.0,observed,111.32527830805469
2023,T3,2023-07-01,116.5403,48320520.0,observed,111.93848960398773
2023,T4,2023-10-01,117.4591,48486865.0,observed,112.43395145406727
2024,T1,2024-01-01,118.7664,48619695.0,observed,113.37473177382394
2024,T2,2024-04-01,119.8579,48701130.0,observed,114.2253602171118
2024,T3,2024-07-01,120.7749,48821936.0,observed,114.81446320832156
2024,T4,2024-10-01,121.7577,48999880.0,observed,115.32841660358686
2025,T1,2025-01-01,122.4255,49128297.0,observed,115.65784252509677
2025,T2,2025-04-01,123.3001,49228887.0,observed,116.24608140315273
2025,T3,2025-07-01,124.0358,49357354.0,observed,116.63532201802069
2025,T4,2025-10-01,124.988,49500617.0,observed,117.19055653290825
2026,T1,2026-01-01,125.7679,49596376.0,observed,117.69412263842385
2026,T2,2026-04-01,126.6395,49697381.0,observed,118.26891017694649
