year,date,quarter,population_quarterly,population_source
2015,2015-01-01,T1,46425722.0,observed
2015,2015-04-01,T2,46405050.5,interpolated
2015,2015-07-01,T3,46384379.0,observed
2015,2015-10-01,T4,46401631.5,interpolated
2016,2016-01-01,T1,46418884.0,observed
2016,2016-04-01,T2,46422992.0,interpolated
2016,2016-07-01,T3,46427100.0,observed
2016,2016-10-01,T4,46462246.5,interpolated
2017,2017-01-01,T1,46497393.0,observed
2017,2017-04-01,T2,46503927.0,interpolated
2017,2017-07-01,T3,46510461.0,observed
2017,2017-10-01,T4,46577765.5,interpolated
2018,2018-01-01,T1,46645070.0,observed
2018,2018-04-01,T2,46680226.5,interpolated
2018,2018-07-01,T3,46715383.0,observed
2018,2018-10-01,T4,46817167.0,interpolated
2019,2019-01-01,T1,46918951.0,observed
2019,2019-04-01,T2,47003364.5,interpolated
2019,2019-07-01,T3,47087778.0,observed
2019,2019-10-01,T4,47202914.0,interpolated
2020,2020-01-01,T1,47318050.0,observed
2020,2020-04-01,T2,47331451.0,interpolated
2020,2020-07-01,T3,47344852.0,observed
2020,2020-10-01,T4,47372825.0,interpolated
2021,2021-01-01,T1,47400798.0,observed
2021,2021-04-01,T2,47356065.0,observed
2021,2021-07-01,T3,47346836.0,observed
2021,2021-10-01,T4,47424595.0,observed
2022,2022-01-01,T1,47486727.0,observed
2022,2022-04-01,T2,47609145.0,observed
2022,2022-07-01,T3,47781354.0,observed
2022,2022-10-01,T4,47940295.0,observed
2023,2023-01-01,T1,48085361.0,observed
2023,2023-04-01,T2,48205962.0,observed
2023,2023-07-01,T3,48320520.0,observed
2023,2023-10-01,T4,48486865.0,observed
2024,2024-01-01,T1,48619695.0,observed
2024,2024-04-01,T2,48701130.0,observed
2024,2024-07-01,T3,48821936.0,observed
2024,2024-10-01,T4,48999880.0,observed
2025,2025-01-01,T1,49128297.0,observed
2025,2025-04-01,T2,49228887.0,observed
2025,2025-07-01,T3,49357354.0,observed
2025,2025-10-01,T4,49500617.0,observed
2026,2026-01-01,T1,49596376.0,observed
2026,2026-04-01,T2,49697381.0,observed
