year,quarter,nominal_salary,cpi,real_salary_base_2025
2015,T1,1831.7,78.08466666666666,2345.7870516618714
2015,T2,1941.74,79.514,2442.0102120381316
2015,T3,1809.88,78.78533333333333,2297.229602802552
2015,T4,2026.14,79.15499999999999,2559.7119575516394
2016,T1,1832.26,77.57066666666667,2362.0526659562033
2016,T2,1943.01,78.762,2466.9383712958024
2016,T3,1804.01,78.64066666666668,2293.9912343910273
2016,T4,2010.73,79.926,2515.73955909216
2017,T1,1829.13,79.69866666666667,2295.057215511761
2017,T2,1942.01,80.33566666666667,2417.3696199695446
2017,T3,1809.12,79.94033333333334,2263.087886381926
2017,T4,2020.14,81.08333333333333,2491.436793422405
2018,T1,1844.24,80.45866666666666,2292.1582924565823
2018,T2,1951.81,81.78333333333335,2386.5620542082734
2018,T3,1842.62,81.72500000000001,2254.6589171000305
2018,T4,2039.01,82.46999999999998,2472.426336849764
2019,T1,1876.19,81.37266666666666,2305.6759436010457
2019,T2,1992.18,82.53333333333335,2413.7883683360255
2019,T3,1876.95,81.98033333333333,2289.512525361774
2019,T4,2075.43,82.83333333333334,2505.5492957746474
2020,T1,1889.78,81.86266666666666,2308.4759841686077
2020,T2,1804.08,81.99033333333334,2200.3569526488895
2020,T3,1859.12,81.568,2279.227147901138
2020,T4,2061.32,82.23833333333333,2506.519668443346
2021,T1,1907.82,82.34833333333334,2316.768200125483
2021,T2,2064.37,84.089,2454.982221217995
2021,T3,1952.37,84.33866666666667,2314.9168432035917
2021,T4,2165.79,87.01799999999999,2488.898848514101
2022,T1,2006.61,88.82133333333333,2259.153206436892
2022,T2,2153.88,91.74000000000001,2347.809025506867
2022,T3,2032.05,92.82266666666665,2189.17433960096
2022,T4,2268.0,92.75233333333334,2445.2215038615377
2023,T1,2126.63,93.31033333333333,2279.093776680682
2023,T2,2262.63,94.53866666666666,2393.3381755613227
2023,T3,2117.8,95.43833333333333,2219.024500986676
2023,T4,2359.38,95.78266666666667,2463.2640561270655
2024,T1,2206.06,96.23866666666667,2292.280303135261
2024,T2,2353.59,97.80799999999999,2406.33690495665
2024,T3,2205.43,97.503,2261.9098899521036
2024,T4,2442.32,98.036,2491.2481129381044
2025,T1,2290.46,98.85633333333332,2316.9582795234837
2025,T2,2416.5,99.91433333333333,2418.5719099361786
2025,T3,2268.0,100.23633333333333,2262.652597694116
2025,T4,2531.22,100.99333333333334,2506.3238497590596
2026,T1,2403.8,101.51233333333333,2367.9881262375347
