year,quarter,full_time,part_time,full_time_pct,part_time_pct
2015,T1,14618.2,2836.6,83.74888282879209,16.25111717120792
2015,T2,15048.4,2818.1,84.22690510172669,15.773094898273305
2015,T3,15298.3,2750.4,84.76122934061733,15.23877065938267
2015,T4,15250.5,2843.7,84.2839141824452,15.716085817554795
2016,T1,15198.8,2830.8,84.29915250476994,15.70084749523007
2016,T2,15499.9,2801.1,84.69427900114748,15.30572099885252
2016,T3,15830.4,2697.1,85.44272028066388,14.557279719336123
2016,T4,15675.1,2833.0,84.69318838778698,15.30681161221303
2017,T1,15564.0,2874.3,84.41125266429118,15.588747335708824
2017,T2,15943.2,2870.1,84.7443032322878,15.255696767712204
2017,T3,16323.4,2725.8,85.6907376687735,14.309262331226508
2017,T4,16193.0,2805.4,85.23349334680815,14.766506653191847
2018,T1,16059.9,2814.3,85.08916934227675,14.910830657723242
2018,T2,16444.3,2899.7,85.00982216708023,14.990177832919768
2018,T3,16814.2,2713.8,86.10303154444901,13.896968455551004
2018,T4,16669.8,2894.8,85.20388865604204,14.796111343957966
2019,T1,16570.4,2900.7,85.10253657985425,14.897463420145751
2019,T2,16853.4,2951.5,85.0971224292978,14.9028775707022
2019,T3,17085.1,2789.2,85.96579502171146,14.034204978288543
2019,T4,17022.1,2944.8,85.25159138374009,14.748408616259912
2020,T1,16833.0,2848.3,85.52788687739124,14.472113122608773
2020,T2,16121.1,2486.1,86.6390429511157,13.3609570488843
2020,T3,16522.1,2654.7,86.15671019148137,13.843289808518627
2020,T4,16545.2,2799.1,85.5301044752201,14.469895524779911
2021,T1,16531.7,2707.9,85.92538306409696,14.07461693590303
2021,T2,16871.0,2845.1,85.5696613427605,14.430338657239517
2021,T3,17399.6,2703.7,86.55096426954778,13.449035730452213
2021,T4,17527.2,2747.7,86.44777532811506,13.552224671884941
2022,T1,17364.1,2832.5,85.97536218967548,14.024637810324512
2022,T2,17768.9,2838.2,86.22707707537694,13.772922924623066
2022,T3,18081.4,2664.1,87.15817888216722,12.841821117832783
2022,T4,17835.9,2804.8,86.41131356979173,13.588686430208277
2023,T1,17807.4,2826.8,86.30041387599229,13.699586124007714
2023,T2,18382.1,2876.3,86.46981898919957,13.530181010800439
2023,T3,18756.7,2689.8,87.45809339519269,12.541906604807313
2023,T4,18508.2,2881.6,86.52815828104985,13.471841718950154
2024,T1,18308.5,2941.5,86.15764705882353,13.84235294117647
2024,T2,18742.1,2942.6,86.43006359322473,13.569936406775284
2024,T3,19029.1,2793.9,87.19745222929936,12.802547770700636
2024,T4,18798.9,3059.0,86.00505995543945,13.994940044560547
2025,T1,18689.5,3075.9,85.867937184706,14.132062815293997
2025,T2,19174.8,3093.9,86.10650823802017,13.89349176197982
2025,T3,19489.3,2897.8,87.05593846456219,12.94406153543782
2025,T4,19373.6,3089.7,86.24556498822523,13.75443501177476
2026,T1,19257.1,3035.9,86.38182389090746,13.618176109092541
2026,T2,19662.4,3116.5,86.31847894323256,13.681521056767446
